x-axis,1,2,EXT
second,Volt,Volt,
+45.32000E-03,+7.22082300E+00,+3.73543974E+00,1
+45.40000E-03,+7.22082300E+00,+3.82388195E+00,1
+45.48000E-03,+7.23488387E+00,+3.82388195E+00,1
+45.56000E-03,+7.24626635E+00,+3.82388195E+00,1
+45.64000E-03,+7.24735566E+00,+3.96645582E+00,1
+45.72000E-03,+7.25221267E+00,+4.05682849E+00,1
+45.80000E-03,+7.26736286E+00,+4.00076638E+00,1
+45.88000E-03,+7.27388832E+00,+4.02951546E+00,1
+45.96000E-03,+7.27388832E+00,+4.16845829E+00,1
+46.04000E-03,+7.28802856E+00,+4.13634271E+00,1
+46.12000E-03,+7.27388832E+00,+4.17765081E+00,1
+46.20000E-03,+7.29463338E+00,+4.17765081E+00,1
+46.28000E-03,+7.30519864E+00,+4.28201854E+00,1
+46.36000E-03,+7.30702581E+00,+4.35453524E+00,1
+46.44000E-03,+7.30042098E+00,+4.38301978E+00,1
+46.52000E-03,+7.30042098E+00,+4.51250555E+00,1
+46.60000E-03,+7.32504712E+00,+4.49037610E+00,1
+46.68000E-03,+7.32695365E+00,+4.52831770E+00,1
+46.76000E-03,+7.33740554E+00,+4.58502225E+00,1
+46.84000E-03,+7.32695365E+00,+4.61986188E+00,1
+46.92000E-03,+7.30710517E+00,+4.61986188E+00,1
+47.00000E-03,+7.35348631E+00,+4.68008408E+00,1
+47.08000E-03,+7.32695365E+00,+4.70830409E+00,1
+47.16000E-03,+7.32695365E+00,+4.79674631E+00,1
+47.24000E-03,+7.35348631E+00,+4.79674631E+00,1
+47.32000E-03,+7.35348631E+00,+4.76164214E+00,1
+47.40000E-03,+7.35348631E+00,+4.79674631E+00,1
+47.48000E-03,+7.38678252E+00,+4.97363073E+00,1
+47.56000E-03,+7.37163233E+00,+4.82470178E+00,1
+47.64000E-03,+7.38001897E+00,+4.97363073E+00,1
+47.72000E-03,+7.35348631E+00,+5.01414523E+00,1
+47.80000E-03,+7.38001897E+00,+5.06207295E+00,1
+47.88000E-03,+7.39062958E+00,+5.06207295E+00,1
+47.96000E-03,+7.35802589E+00,+5.13538324E+00,1
+48.04000E-03,+7.40655164E+00,+5.15051516E+00,1
+48.12000E-03,+7.40655164E+00,+5.17820610E+00,1
+48.20000E-03,+7.40962683E+00,+5.16076582E+00,1
+48.28000E-03,+7.43308430E+00,+5.32739959E+00,1
+48.36000E-03,+7.43239179E+00,+5.32970796E+00,1
+48.44000E-03,+7.42239433E+00,+5.29176636E+00,1
+48.52000E-03,+7.43308430E+00,+5.43070919E+00,1
+48.60000E-03,+7.40655164E+00,+5.50428402E+00,1
+48.68000E-03,+7.45961696E+00,+5.59272623E+00,1
+48.76000E-03,+7.45961696E+00,+5.59272623E+00,1
+48.84000E-03,+7.48614963E+00,+5.68963980E+00,1
+48.92000E-03,+7.48614963E+00,+5.85600904E+00,1
+49.00000E-03,+7.45961696E+00,+5.76961066E+00,1
+49.08000E-03,+7.48614963E+00,+5.78421351E+00,1
+49.16000E-03,+7.45961696E+00,+5.92315634E+00,1
+49.24000E-03,+7.50453373E+00,+5.94649509E+00,1
+49.32000E-03,+7.51268229E+00,+6.11259979E+00,1
+49.40000E-03,+7.50076602E+00,+6.08365862E+00,1
+49.48000E-03,+7.51268229E+00,+6.21182173E+00,1
+49.56000E-03,+7.50784700E+00,+6.24798402E+00,1
+49.64000E-03,+7.53921495E+00,+6.30026394E+00,1
+49.72000E-03,+7.51976327E+00,+6.38870616E+00,1
+49.80000E-03,+7.53114575E+00,+6.44250084E+00,1
+49.88000E-03,+7.55912106E+00,+6.55454633E+00,1
+49.96000E-03,+7.52737804E+00,+6.56559058E+00,1
+50.04000E-03,+7.53921495E+00,+6.74096024E+00,1
+50.12000E-03,+7.56107105E+00,+6.69045963E+00,1
+50.20000E-03,+7.53921495E+00,+6.75654880E+00,1
+50.28000E-03,+7.53921495E+00,+6.89549163E+00,1
+50.36000E-03,+7.54720479E+00,+6.85755003E+00,1
+50.44000E-03,+7.54600022E+00,+6.91935944E+00,1
+50.52000E-03,+7.58052273E+00,+7.05705204E+00,1
+50.60000E-03,+7.59228028E+00,+7.09624387E+00,1
+50.68000E-03,+7.56574761E+00,+7.14799472E+00,1
+50.76000E-03,+7.56574761E+00,+7.27312829E+00,1
+50.84000E-03,+7.58504058E+00,+7.27312829E+00,1
+50.92000E-03,+7.58436980E+00,+7.27312829E+00,1
+51.00000E-03,+7.61534095E+00,+7.28470161E+00,1
+51.08000E-03,+7.59228028E+00,+7.41108542E+00,1
+51.16000E-03,+7.59228028E+00,+7.44804132E+00,1
+51.24000E-03,+7.60336705E+00,+7.50149904E+00,1
+51.32000E-03,+7.61474952E+00,+7.53845493E+00,1
+51.40000E-03,+7.61881294E+00,+7.45001272E+00,1
+51.48000E-03,+7.61098182E+00,+7.56455868E+00,1
+51.56000E-03,+7.59228028E+00,+7.62689715E+00,1
+51.64000E-03,+7.61881294E+00,+7.62689715E+00,1
+51.72000E-03,+7.61902929E+00,+7.62761832E+00,1
+51.80000E-03,+7.61881294E+00,+7.75255979E+00,1
+51.88000E-03,+7.64534560E+00,+7.80378158E+00,1
+51.96000E-03,+7.62621136E+00,+7.74000077E+00,1
+52.04000E-03,+7.62656470E+00,+7.80378158E+00,1
+52.12000E-03,+7.64171489E+00,+7.88012140E+00,1
+52.20000E-03,+7.64534560E+00,+7.93062202E+00,1
+52.28000E-03,+7.61894993E+00,+7.98066600E+00,1
+52.36000E-03,+7.64534560E+00,+8.03162326E+00,1
